region_id,name,kind,type,year,quarter,download_mbps,upload_mbps,latency_ms,tile_median_download_mbps,tests,devices,tiles
D-aghjabadi,Aghjabadi,district,fixed,2019,4,11.678,13.337,44.22,2.58,375.0,118.0,68
D-agstafa,Agstafa,district,fixed,2019,4,3.818,4.738,63.17,2.33,343.0,115.0,54
D-agsu,Agsu,district,fixed,2019,4,4.382,2.255,40.1,2.546,342.0,139.0,61
D-astara,Astara,district,fixed,2019,4,2.417,0.769,55.63,2.121,137.0,69.0,52
D-babek,Babek,district,fixed,2019,4,3.538,3.514,92.37,1.43,141.0,53.0,40
D-balakan,Balakan,district,fixed,2019,4,2.624,0.726,95.94,1.671,415.0,148.0,92
D-barda,Barda,district,fixed,2019,4,4.41,3.882,60.18,2.243,677.0,194.0,93
D-beylagan,Beylagan,district,fixed,2019,4,3.407,1.134,59.92,2.21,226.0,68.0,53
D-bilasuvar,Bilasuvar,district,fixed,2019,4,3.109,1.616,58.29,2.468,279.0,95.0,67
D-dashkasan,Dashkasan,district,fixed,2019,4,6.979,8.977,69.13,6.882,749.0,68.0,9
D-fuzuli,Fuzuli,district,fixed,2019,4,2.888,3.319,46.42,3.123,127.0,28.0,25
D-gadabay,Gadabay,district,fixed,2019,4,2.428,0.625,104.69,2.011,314.0,55.0,36
D-gobustan,Gobustan,district,fixed,2019,4,2.369,0.72,54.0,2.25,81.0,35.0,32
D-goranboy,Goranboy,district,fixed,2019,4,11.019,12.217,60.94,2.109,372.0,172.0,76
D-goychay,Goychay,district,fixed,2019,4,4.667,3.622,47.46,2.214,479.0,180.0,84
D-goygol,Goygol,district,fixed,2019,4,4.537,4.235,87.53,2.792,1796.0,504.0,194
D-hajigabul,Hajigabul,district,fixed,2019,4,7.017,6.638,26.88,3.002,652.0,241.0,82
D-imishli,Imishli,district,fixed,2019,4,4.02,3.233,87.23,2.235,480.0,124.0,51
D-ismailli,Ismailli,district,fixed,2019,4,2.426,1.311,56.26,1.993,266.0,96.0,71
D-jalilabad,Jalilabad,district,fixed,2019,4,2.723,1.378,40.5,2.328,524.0,123.0,85
D-julfa,Julfa,district,fixed,2019,4,1.479,0.306,135.42,0.858,26.0,17.0,15
D-kangarli,Kangarli,district,fixed,2019,4,8.761,9.957,149.82,1.961,17.0,10.0,9
D-khachmaz,Khachmaz,district,fixed,2019,4,11.591,12.104,35.46,2.906,2035.0,645.0,219
D-khizi,Khizi,district,fixed,2019,4,7.995,8.895,32.01,3.475,141.0,67.0,44
D-khojaly,Khojaly,district,fixed,2019,4,18.348,20.136,10.71,19.273,17.0,6.0,3
D-khojavend,Khojavend,district,fixed,2019,4,2.061,1.469,27.0,2.061,3.0,1.0,1
D-kurdamir,Kurdamir,district,fixed,2019,4,7.552,4.102,35.78,2.551,462.0,79.0,45
D-lachin,Lachin,district,fixed,2019,4,12.297,1.333,23.6,9.5,5.0,2.0,2
D-lankaran,Lankaran,district,fixed,2019,4,11.098,14.446,42.39,2.426,686.0,303.0,169
D-lerik,Lerik,district,fixed,2019,4,2.517,0.685,74.18,3.087,39.0,18.0,17
D-masally,Masally,district,fixed,2019,4,2.657,0.864,49.48,2.3,563.0,177.0,128
D-neftchala,Neftchala,district,fixed,2019,4,4.705,3.823,37.89,2.463,1127.0,300.0,133
D-oghuz,Oghuz,district,fixed,2019,4,2.453,1.066,75.03,1.578,117.0,55.0,44
D-ordubad,Ordubad,district,fixed,2019,4,1.126,0.215,103.78,0.836,46.0,22.0,18
D-qabala,Qabala,district,fixed,2019,4,5.509,4.352,49.71,2.515,1452.0,500.0,205
D-qakh,Qakh,district,fixed,2019,4,2.686,0.998,81.13,2.642,83.0,36.0,29
D-qazakh,Qazakh,district,fixed,2019,4,3.359,1.816,73.37,2.254,391.0,122.0,77
D-quba,Quba,district,fixed,2019,4,8.491,9.585,45.1,2.576,2062.0,701.0,239
D-qubadli,Qubadli,district,fixed,2019,4,16.744,15.248,9.85,15.304,26.0,3.0,3
D-qusar,Qusar,district,fixed,2019,4,8.68,10.07,44.63,2.62,1539.0,472.0,202
D-saatly,Saatly,district,fixed,2019,4,4.458,2.725,56.36,3.232,357.0,112.0,70
D-sabirabad,Sabirabad,district,fixed,2019,4,2.406,1.459,70.5,2.502,642.0,179.0,78
D-sadarak,Sadarak,district,fixed,2019,4,1.178,0.424,113.0,1.178,1.0,1.0,1
D-salyan,Salyan,district,fixed,2019,4,2.822,1.44,48.47,2.185,552.0,132.0,69
D-samukh,Samukh,district,fixed,2019,4,2.959,2.876,84.17,2.097,412.0,107.0,72
D-shabran,Shabran,district,fixed,2019,4,5.17,20.587,30.45,1.591,240.0,88.0,45
D-shahbuz,Shahbuz,district,fixed,2019,4,3.413,0.827,29.0,3.413,5.0,1.0,1
D-shaki,Shaki,district,fixed,2019,4,3.718,3.831,60.02,2.108,494.0,161.0,115
D-shamakhi,Shamakhi,district,fixed,2019,4,8.122,6.692,35.3,3.249,652.0,237.0,133
D-shamkir,Shamkir,district,fixed,2019,4,5.285,7.059,78.93,2.601,1440.0,466.0,197
D-sharur,Sharur,district,fixed,2019,4,1.59,0.312,64.67,1.416,45.0,31.0,26
D-siazan,Siazan,district,fixed,2019,4,3.079,1.459,39.64,2.592,163.0,60.0,35
D-tartar,Tartar,district,fixed,2019,4,3.783,2.931,63.87,2.193,142.0,57.0,34
D-tovuz,Tovuz,district,fixed,2019,4,2.389,1.241,87.26,1.786,378.0,150.0,90
D-ujar,Ujar,district,fixed,2019,4,2.035,0.782,59.13,1.71,214.0,56.0,46
